ranking, punk_image, id, minscore, 2nd, category
25,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk0510.png" width="72" height="72">","0510",,,30.3100000000,0.0800000000,,Mid,Male,0.0015957880881869035867476995
26,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk1050.png" width="72" height="72">","1050",,,30.3100000000,0.0800000000,,Mid,Female,0.0015957880881869035867476995
27,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk0372.png" width="72" height="72">","0372",0.025400000000,2.5400000000,0.2400000000,3.3300000000,Cap Forward 2.5400,Ape,Ape,0.0016424464477153047946620416
28,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2924.png" width="72" height="72">","2924",0.025900000000,2.5900000000,0.2400000000,3.3300000000,Hoodie 2.5900,Ape,Ape,0.0016714253703473173161323955
29,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4178.png" width="72" height="72">","4178",0.030000000000,3.0000000000,0.2400000000,3.3300000000,Do-rag 3.0000,Ape,Ape,0.0019047467725918570010585704
30,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2491.png" width="72" height="72">","2491",0.035100000000,3.5100000000,0.2400000000,3.3300000000,Cap 3.5100,Ape,Ape,0.0021846651674892672528053228
31,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk2711.png" width="72" height="72">","2711",0.025400000000,24.5900000000,0.2400000000,35.6000000000,"Cap Forward 2.5400,Earring 24.5900",Ape,Ape,0.0022015570303192746001353299
32,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk4464.png" width="72" height="72">","4464",0.027200000000,2.9300000000,0.2400000000,45.0100000000,"Vape 2.7200,Eye Mask 2.9300,Do-rag 3.0000",Ape,Ape,0.0023247430257496653280714353
33,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk8219.png" width="72" height="72">","8219",0.041900000000,4.1900000000,0.2400000000,3.3300000000,Knitted Cap 4.1900,Ape,Ape,0.0025411780776004629089156334
34,"<img src="https://www.larvalabs.com/public/images/cryptopunks/punk5314.png" width="72" height="72">","5314",0.030000000000,5.3500000000,0.2400000000,35.6000000000,"Do-rag 3.0000,Horned Rim Glasses 5.3500",Ape,Ape,0.0025454059472101570332068883
